Episodio,Puntaje
1491,[2561.]
1492,[2540.]
1493,[1924.]
1494,[982.]
1495,[2564.]
1496,[2503.]
1497,[2573.]
1498,[2503.]
1499,[2486.]
1500,[2589.]
1501,[2506.]
1502,[2560.]
1503,[2580.]
1504,[2562.]
1505,[2518.]
1506,[2556.]
1507,[1672.]
1508,[2555.]
1509,[1773.]
1510,[1544.]
1511,[2493.]
1512,[1006.]
1513,[907.]
1514,[2563.]
1515,[2548.]
1516,[2561.]
1517,[2554.]
1518,[1006.]
1519,[2584.]
1520,[2560.]
1521,[2585.]
1522,[2565.]
1523,[2570.]
1524,[2104.]
1525,[2584.]
1526,[2550.]
1527,[982.]
1528,[2589.]
1529,[2552.]
1530,[2559.]
1531,[862.]
1532,[2576.]
1533,[2263.]
1534,[2540.]
1535,[1316.]
1536,[2493.]
1537,[1006.]
1538,[2561.]
1539,[2534.]
1540,[1220.]
1541,[2602.]
1542,[2570.]
1543,[2562.]
1544,[2560.]
1545,[2560.]
1546,[1125.]
1547,[2472.]
1548,[2540.]
1549,[2557.]
1550,[2540.]
1551,[2582.]
1552,[2466.]
1553,[2571.]
1554,[2507.]
1555,[646.]
1556,[1929.]
1557,[422.]
1558,[1006.]
1559,[2483.]
1560,[2569.]
1561,[2513.]
1562,[2561.]
1563,[2561.]
1564,[982.]
1565,[1006.]
1566,[2570.]
1567,[2595.]
1568,[2589.]
1569,[982.]
1570,[2536.]
1571,[2517.]
1572,[2563.]
1573,[2527.]
1574,[2542.]
1575,[2527.]
1576,[2608.]
1577,[2543.]
1578,[2610.]
1579,[2263.]
1580,[2538.]
1581,[2540.]
1582,[2561.]
1583,[2104.]
1584,[982.]
1585,[2603.]
1586,[2068.]
1587,[2563.]
1588,[1203.]
1589,[2500.]
1590,[2526.]
1591,[2617.]
1592,[2581.]
1593,[2561.]
1594,[2560.]
1595,[2476.]
1596,[307.]
1597,[2561.]
1598,[2535.]
1599,[2524.]
1600,[2263.]
1601,[2540.]
1602,[2540.]
1603,[307.]
1604,[1761.]
1605,[2540.]
1606,[2466.]
1607,[2540.]
1608,[2597.]
1609,[2540.]
1610,[2557.]
1611,[2513.]
1612,[2586.]
1613,[2560.]
1614,[2572.]
1615,[2582.]
1616,[2563.]
1617,[2543.]
1618,[2614.]
1619,[2614.]
1620,[1067.]
1621,[2583.]
1622,[2588.]
1623,[2530.]
1624,[2588.]
1625,[2568.]
1626,[2565.]
1627,[2560.]
1628,[2509.]
1629,[2550.]
1630,[2461.]
1631,[768.]
1632,[2561.]
1633,[734.]
1634,[2507.]
1635,[2568.]
1636,[2560.]
1637,[2586.]
1638,[2561.]
1639,[2584.]
1640,[2609.]
1641,[2602.]
1642,[2263.]
1643,[2572.]
1644,[2540.]
1645,[972.]
1646,[2053.]
1647,[2567.]
1648,[2538.]
1649,[2263.]
1650,[2571.]
1651,[2554.]
1652,[2555.]
1653,[2519.]
1654,[939.]
1655,[2554.]
1656,[2549.]
1657,[2528.]
1658,[2560.]
1659,[2571.]
1660,[2466.]
1661,[1162.]
1662,[2263.]
1663,[2007.]
1664,[2540.]
1665,[2555.]
