Episodio,Puntaje
1543,[2465.]
1544,[2350.]
1545,[1241.]
1546,[2193.]
1547,[2348.]
1548,[2416.]
1549,[2152.]
1550,[2251.]
1551,[1583.]
1552,[2389.]
1553,[2390.]
1554,[2437.]
1555,[2387.]
1556,[1459.]
1557,[2397.]
1558,[2456.]
1559,[2399.]
1560,[1789.]
1561,[1401.]
1562,[1123.]
1563,[2390.]
1564,[1752.]
1565,[2437.]
1566,[2468.]
1567,[2146.]
1568,[2376.]
1569,[387.]
1570,[2399.]
1571,[2373.]
1572,[2397.]
1573,[579.]
1574,[1578.]
1575,[2524.]
1576,[2381.]
1577,[2539.]
1578,[2399.]
1579,[1430.]
1580,[2368.]
1581,[2390.]
1582,[2425.]
1583,[1902.]
1584,[2389.]
1585,[2397.]
1586,[2437.]
1587,[2193.]
1588,[997.]
1589,[2397.]
1590,[307.]
1591,[2397.]
1592,[2236.]
1593,[2410.]
1594,[2399.]
1595,[2390.]
1596,[1583.]
1597,[2401.]
1598,[2416.]
1599,[865.]
1600,[307.]
1601,[2210.]
1602,[2437.]
1603,[601.]
1604,[2305.]
1605,[2412.]
1606,[2416.]
1607,[1583.]
1608,[2098.]
1609,[1134.]
1610,[2399.]
1611,[2442.]
1612,[2179.]
1613,[2451.]
1614,[2437.]
1615,[1147.]
1616,[1515.]
1617,[347.]
1618,[403.]
1619,[2207.]
1620,[2404.]
1621,[2399.]
1622,[1578.]
1623,[2437.]
1624,[2210.]
1625,[2437.]
1626,[1682.]
1627,[1007.]
1628,[307.]
1629,[1252.]
1630,[1011.]
1631,[1023.]
1632,[2286.]
1633,[1517.]
1634,[1198.]
1635,[2269.]
1636,[2207.]
1637,[2402.]
1638,[2207.]
1639,[2194.]
1640,[2399.]
1641,[2442.]
1642,[2187.]
1643,[2398.]
1644,[1134.]
1645,[820.]
1646,[2416.]
1647,[2102.]
1648,[2416.]
1649,[1583.]
1650,[2401.]
1651,[2140.]
1652,[2398.]
1653,[2404.]
1654,[848.]
1655,[2389.]
1656,[2255.]
1657,[1738.]
1658,[1333.]
1659,[2495.]
1660,[2437.]
1661,[2193.]
1662,[2437.]
1663,[2193.]
1664,[1583.]
1665,[2389.]
1666,[2409.]
1667,[2098.]
1668,[2005.]
1669,[840.]
1670,[879.]
1671,[2376.]
1672,[1155.]
1673,[2395.]
1674,[2478.]
